"Category";"EU ETS";"China national ETS"
1990;0;0
1991;0;0
1992;0;0
1993;0;0
1994;0;0
1995;0;0
1996;0;0
1997;0;0
1998;0;0
1999;0;0
2000;0;0
2001;0;0
2002;0;0
2003;0;0
2004;0;0
2005;19,04973;0
2006;32,353992;0
2007;1,251892;0
2008;34,48332;0
2009;15,550804;0
2010;17,265976;0
2011;23,75688;0
2012;9,322488;0
2013;6,04396;0
2014;6,7571;0
2015;7,689825;0
2016;5,921776;0
2017;5,644848;0
2018;16,26372;0
2019;24,505716;0
2020;18,53652;0
2021;49,779548;0
2022;86,526108;9,199849028
2023;96,298125;8,15316299
2024;61,301547;12,57307921
2025;70,370124;11,76462495
