AWS Server location,Offsite WUE in L/kWh(from Rieg et al. 2020),Average AWS offsite WUE (trn1),,,,Google server location,Offsite WUE in L/kWh(from Rieg et al. 2020),Source,Average Google offsite WUE
US east (Virginia),2.385,7.026833333,,,,"us-central1 (Council Bluffs, Iowa, USA)",3.1,Rieg et al. (2020),3.99
US east 2 (Ohio),3.526,,,,,"us-central2 (Tulsa, Oklahoma, USA)",2.04,Rieg et al. (2020),
US west (Oregon),9.5,,,,,"us-east1 (Moncks Corner, South Carolina, USA)",2.34,Rieg et al. (2020),
"Asia Pacific (India, Mumbai)",3.44,,,,,"us-east5 (Columbus, Ohio, USA)",2.23,Rieg et al. (2020),
"Asia Pacific (Australia, Melbourne)",4.73,,,,,"us-south1 (Dallas, Texas, USA)",1.29,Rieg et al. (2020),
"South America (Brazil, Sao Paolo)",18.58,,,,,"us-west1 (The Dalles, Oregon, USA)",9.5,Rieg et al. (2020),
,,,,,,"us-west4 (Las Vegas, Nevada, USA)",4.96,Rieg et al. (2020),
,,,,,,"europe-west4 (Eemshaven, Netherlands)",3.44,Rieg et al. (2020),
,,,,,,"asia-east1 (Changhua County, Taiwan)",2.18,Value from Chen et al. (2015) table 3 is used since Rieg et al. (2020) do not calculate it for Taiwan,
,,,,,,"asia-northeast1 (Tokyo, Japan)",2.31,Rieg et al. (2020),
,,,,,,"southamerica-west1 (Santiago, Chile)",10.5,Rieg et al. (2020),
