eval_name,Precision,Type,T,Weight type,Architecture,fullname,#Params (B),MoE,CO2 cost (kg),Submission Date,Generation,Base Model
0-hero_Matter-0.2-7B-DPO_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,MistralForCausalLM,0-hero/Matter-0.2-7B-DPO,7.242,False,1.21917416412372,2024-08-05,0,0-hero/Matter-0.2-7B-DPO
01-ai_Yi-1.5-34B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-1.5-34B,34.389,False,22.7033978747449,2024-06-12,0,01-ai/Yi-1.5-34B
01-ai_Yi-1.5-34B-32K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-1.5-34B-32K,34.389,False,23.1546285750989,2024-06-12,0,01-ai/Yi-1.5-34B-32K
01-ai_Yi-1.5-34B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,01-ai/Yi-1.5-34B-Chat,34.389,False,22.4238438673277,2024-06-12,0,01-ai/Yi-1.5-34B-Chat
01-ai_Yi-1.5-34B-Chat-16K_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,01-ai/Yi-1.5-34B-Chat-16K,34.389,False,6.77402245814884,2024-07-15,0,01-ai/Yi-1.5-34B-Chat-16K
01-ai_Yi-1.5-6B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-1.5-6B,6.061,False,1.84420957164878,2024-08-10,0,01-ai/Yi-1.5-6B
01-ai_Yi-1.5-6B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,01-ai/Yi-1.5-6B-Chat,6.061,False,1.44479110710906,2024-10-22,0,01-ai/Yi-1.5-6B-Chat
01-ai_Yi-1.5-9B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-1.5-9B,8.829,False,1.46889203208171,2024-06-12,0,01-ai/Yi-1.5-9B
01-ai_Yi-1.5-9B-32K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-1.5-9B-32K,8.829,False,1.56807341326969,2024-06-12,0,01-ai/Yi-1.5-9B-32K
01-ai_Yi-1.5-9B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,01-ai/Yi-1.5-9B-Chat,8.829,False,1.45354349091061,2024-06-12,0,01-ai/Yi-1.5-9B-Chat
01-ai_Yi-1.5-9B-Chat-16K_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,01-ai/Yi-1.5-9B-Chat-16K,8.829,False,1.58474501340175,2024-06-12,0,01-ai/Yi-1.5-9B-Chat-16K
01-ai_Yi-34B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-34B,34.389,False,25.6574832887795,2024-06-12,0,01-ai/Yi-34B
01-ai_Yi-34B-200K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-34B-200K,34.389,False,25.5038558471295,2024-06-12,0,01-ai/Yi-34B-200K
01-ai_Yi-34B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,01-ai/Yi-34B-Chat,34.389,False,25.1256956899816,2024-06-12,0,01-ai/Yi-34B-Chat
01-ai_Yi-6B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-6B,6.061,False,1.09854925370004,2024-06-12,0,01-ai/Yi-6B
01-ai_Yi-6B-200K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-6B-200K,6.061,False,1.12642398061845,2024-06-12,0,01-ai/Yi-6B-200K
01-ai_Yi-6B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,01-ai/Yi-6B-Chat,6.061,False,1.1106656722436,2024-06-12,0,01-ai/Yi-6B-Chat
01-ai_Yi-9B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-9B,8.829,False,1.53066396141702,2024-06-12,0,01-ai/Yi-9B
01-ai_Yi-9B-200K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,01-ai/Yi-9B-200K,8.829,False,1.5489823437933,2024-06-12,0,01-ai/Yi-9B-200K
01-ai_Yi-Coder-9B-Chat_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,01-ai/Yi-Coder-9B-Chat,8.829,False,1.81953222959217,2024-09-12,1,01-ai/Yi-Coder-9B
1-800-LLMs_Qwen-2.5-14B-Hindi_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,1-800-LLMs/Qwen-2.5-14B-Hindi,14.77,False,3.86607428734681,2025-02-06,0,1-800-LLMs/Qwen-2.5-14B-Hindi
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,14.77,False,5.40046546907165,2025-02-06,2,Qwen/Qwen2.5-14B
1024m_PHI-4-Hindi_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,1024m/PHI-4-Hindi,14.66,False,1.65964205977959,2025-02-06,0,1024m/PHI-4-Hindi
1024m_QWEN-14B-B100_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,1024m/QWEN-14B-B100,14.77,False,3.37018194233588,2025-02-06,3,Qwen/Qwen2.5-14B
152334H_miqu-1-70b-sf_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,152334H/miqu-1-70b-sf,68.977,False,12.1979719538283,2024-06-26,0,152334H/miqu-1-70b-sf
1TuanPham_T-VisStar-7B-v0.1_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,MistralForCausalLM,1TuanPham/T-VisStar-7B-v0.1,7.294,False,1.90526445386405,2024-09-22,0,1TuanPham/T-VisStar-7B-v0.1
1TuanPham_T-VisStar-v0.1_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,MistralForCausalLM,1TuanPham/T-VisStar-v0.1,7.294,False,1.24876882713641,2024-09-20,0,1TuanPham/T-VisStar-v0.1
3rd-Degree-Burn_L-3.1-Science-Writer-8B_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,3rd-Degree-Burn/L-3.1-Science-Writer-8B,8.03,False,1.41935654860984,2024-11-19,0,Removed
3rd-Degree-Burn_Llama-3.1-8B-Squareroot_float16,float16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,8.03,False,1.97409972225828,2024-10-10,1,3rd-Degree-Burn/Llama-3.1-8B-Squareroot (Merge)
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1_float16,float16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,8.03,False,1.54549854479196,2024-11-10,0,Removed
3rd-Degree-Burn_Llama-Squared-8B_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,3rd-Degree-Burn/Llama-Squared-8B,8.03,False,2.02222304948285,2024-10-08,0,Removed
4season_final_model_test_v2_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,4season/final_model_test_v2,21.421,False,2.1620767196814,2024-06-27,0,4season/final_model_test_v2
AALF_FuseChat-Llama-3.1-8B-Instruct-preview_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,8.03,False,1.37723825616608,2024-11-20,0,AALF/FuseChat-Llama-3.1-8B-Instruct-preview
AALF_FuseChat-Llama-3.1-8B-SFT-preview_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AALF/FuseChat-Llama-3.1-8B-SFT-preview,8.03,False,1.36861507676058,2024-11-21,0,AALF/FuseChat-Llama-3.1-8B-SFT-preview
AALF_gemma-2-27b-it-SimPO-37K_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Gemma2ForCausalLM,AALF/gemma-2-27b-it-SimPO-37K,27.227,False,19.9954432508248,2024-09-05,2,google/gemma-2-27b
AALF_gemma-2-27b-it-SimPO-37K-100steps_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Gemma2ForCausalLM,AALF/gemma-2-27b-it-SimPO-37K-100steps,27.227,False,19.7134709493991,2024-09-21,2,google/gemma-2-27b
AELLM_gemma-2-aeria-infinity-9b_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Gemma2ForCausalLM,AELLM/gemma-2-aeria-infinity-9b,9.242,False,6.00757868835726,2024-10-09,1,AELLM/gemma-2-aeria-infinity-9b (Merge)
AELLM_gemma-2-lyco-infinity-9b_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Gemma2ForCausalLM,AELLM/gemma-2-lyco-infinity-9b,10.159,False,5.95704013456555,2024-10-09,1,AELLM/gemma-2-lyco-infinity-9b (Merge)
AGI-0_Art-v0-3B_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,AGI-0/Art-v0-3B,3.086,False,2.36157637716534,2025-01-19,0,AGI-0/Art-v0-3B
AGI-0_Artificium-llama3.1-8B-001_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AGI-0/Artificium-llama3.1-8B-001,8.03,False,2.79740263257176,2024-09-08,0,AGI-0/Artificium-llama3.1-8B-001
AGI-0_smartllama3.1-8B-001_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AGI-0/smartllama3.1-8B-001,8.03,False,1.43766849501801,2024-11-25,0,AGI-0/smartllama3.1-8B-001
AI-MO_NuminaMath-7B-CoT_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AI-MO/NuminaMath-7B-CoT,6.91,False,1.49197791543844,2024-09-10,1,deepseek-ai/deepseek-math-7b-base
AI-MO_NuminaMath-7B-TIR_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AI-MO/NuminaMath-7B-TIR,6.91,False,2.14821957498825,2024-07-11,1,deepseek-ai/deepseek-math-7b-base
AI-Sweden-Models_Llama-3-8B-instruct_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AI-Sweden-Models/Llama-3-8B-instruct,8.03,False,2.33222176173503,2024-06-27,2,meta-llama/Meta-Llama-3-8B
AI-Sweden-Models_gpt-sw3-40b_float16,float16,🟢 pretrained,🟢,Original,GPT2LMHeadModel,AI-Sweden-Models/gpt-sw3-40b,39.927,False,5.91963873011415,2024-06-26,0,AI-Sweden-Models/gpt-sw3-40b
AI4free_Dhanishtha_float16,float16,🟩 continuously pretrained,🟩,Original,Qwen2ForCausalLM,AI4free/Dhanishtha,1.777,False,1.16263004412731,2025-02-19,1,AI4free/Dhanishtha (Merge)
AI4free_t2_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,AI4free/t2,7.613,False,0.712124437077416,2025-02-27,0,Removed
AIDC-AI_Marco-o1_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Qwen2ForCausalLM,AIDC-AI/Marco-o1,7.616,False,1.57287057445156,2025-01-31,0,AIDC-AI/Marco-o1
Aashraf995_Creative-7B-nerd_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,Aashraf995/Creative-7B-nerd,7.616,False,1.29773400104862,2024-12-13,1,Aashraf995/Creative-7B-nerd (Merge)
Aashraf995_Gemma-Evo-10B_float16,float16,🤝 base merges and moerges,🤝,Original,Gemma2ForCausalLM,Aashraf995/Gemma-Evo-10B,10.159,False,4.59603143681591,2024-12-13,1,Aashraf995/Gemma-Evo-10B (Merge)
Aashraf995_Qwen-Evo-7B_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,Aashraf995/Qwen-Evo-7B,7.616,False,1.268015219939,2024-12-13,1,Aashraf995/Qwen-Evo-7B (Merge)
Aashraf995_QwenStock-14B_float16,float16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,Aashraf995/QwenStock-14B,14.766,False,3.74989130587265,2024-12-13,1,Aashraf995/QwenStock-14B (Merge)
AbacusResearch_Jallabi-34B_float16,float16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,AbacusResearch/Jallabi-34B,34.389,False,6.57298467956946,2024-06-27,0,AbacusResearch/Jallabi-34B
Ahdoot_StructuredThinker-v0.3-MoreStructure_float16,float16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,Ahdoot/StructuredThinker-v0.3-MoreStructure,3.397,False,1.48988129963053,2025-01-01,1,Ahdoot/StructuredThinker-v0.3-MoreStructure (Merge)
Ahdoot_Test_StealthThinker_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,Ahdoot/Test_StealthThinker,3.086,False,1.59760472299353,2025-01-05,1,Ahdoot/Test_StealthThinker (Merge)
AicoresSecurity_Cybernet-Sec-3B-R1-V0_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AicoresSecurity/Cybernet-Sec-3B-R1-V0,3.213,False,0.582548672616931,2025-02-26,0,Removed
AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,3.213,False,0.567645769003101,2025-02-26,0,Removed
AicoresSecurity_Cybernet-Sec-3B-R1-V1_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AicoresSecurity/Cybernet-Sec-3B-R1-V1,3.213,False,0.587444987934335,2025-03-07,0,Removed
AicoresSecurity_Cybernet-Sec-3B-R1-V1.1_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,3.213,False,0.614191252274451,2025-03-07,0,Removed
Alepach_notHumpback-M0_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,Alepach/notHumpback-M0,3.213,False,3.50709098673209,2025-01-17,1,meta-llama/Llama-3.2-3B
Alepach_notHumpback-M1_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,Alepach/notHumpback-M1,3.213,False,3.5944551921442,2025-01-17,1,meta-llama/Llama-3.2-3B
Alepach_notHumpback-M1-v2_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,Alepach/notHumpback-M1-v2,3.213,False,1.17053654604348,2025-01-19,0,Removed
Alibaba-NLP_gte-Qwen2-7B-instruct_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,Alibaba-NLP/gte-Qwen2-7B-instruct,7.613,False,4.34422669715987,2024-08-05,0,Alibaba-NLP/gte-Qwen2-7B-instruct
Alsebay_Qwen2.5-7B-test-novelist_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,Alsebay/Qwen2.5-7B-test-novelist,7.616,False,1.33438565237007,2024-12-12,3,Qwen/Qwen2.5-7B
Amaorynho_BBAI2006_float16,float16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,Amaorynho/BBAI2006,1.09,False,0.0885101147748754,2025-02-27,1,Amaorynho/BBAI2006 (Merge)
Amaorynho_BBAI270V4_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,Amaorynho/BBAI270V4,7.616,False,0.684963583165329,2025-02-26,1,Amaorynho/BBAI270V4 (Merge)
Amaorynho_BBAIIFEV1_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,Amaorynho/BBAIIFEV1,8.03,False,0.682209816344325,2025-03-01,1,Amaorynho/BBAIIFEV1 (Merge)
Amaorynho_BBAI_375_float16,float16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,Amaorynho/BBAI_375,1.09,False,0.0862765934283883,2025-02-27,1,Amaorynho/BBAI_375 (Merge)
Amu_t1-1.5B_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,Amu/t1-1.5B,1.777,False,0.620625873109556,2025-03-08,1,Amu/t1-1.5B (Merge)
Amu_t1-3B_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Qwen2ForCausalLM,Amu/t1-3B,3.397,False,0.800969447623623,2025-03-13,1,Amu/t1-3B (Merge)
ArliAI_ArliAI-RPMax-12B-v1.1_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,MistralForCausalLM,ArliAI/ArliAI-RPMax-12B-v1.1,12.248,False,3.66680461065589,2024-09-05,0,ArliAI/ArliAI-RPMax-12B-v1.1
